Processes,Slices,Total Points,Total Area,Elapsed Time (s)
8,330,10,0.651515,0.000000
8,330,100,0.675082,0.000000
8,330,1000,0.678534,0.000000
8,330,10000,0.680609,0.000000
8,330,100000,0.680564,0.000000
8,330,1000000,0.680488,5000000.000000
8,330,10000000,0.680450,65000000.000000
